result,material_balance,piece_mobility,control_of_center_small,control_of_center_large
0-1,-1,17,0,10
0-1,-2,3,0,10
0-1,6,8,0,0
0-1,-11,27,10,0
0-1,-12,2,10,0
0-1,6,26,-10,-10
0-1,4,31,0,0
0-1,7,6,-10,-10
0-1,6,2,0,0
1-0,-1,45,20,20
1-0,3,32,10,20
1-0,4,38,0,0
1-0,4,45,0,10
0-1,-5,45,0,40
0-1,-13,31,0,30
0-1,-4,21,0,-10
0-1,-12,11,-10,-20
0-1,1,42,-10,-20
0-1,-1,27,0,0
0-1,-2,0,0,-10
1-0,3,32,10,20
1-0,4,29,20,10
1-0,9,22,10,10
0-1,-4,27,0,20
0-1,-5,18,10,-10
0-1,-7,23,0,-40
0-1,-24,51,0,-40
0-1,-24,0,0,-20
0-1,-4,32,0,0
0-1,-5,5,-10,-20
0-1,-1,32,10,0
0-1,-5,46,-10,-10
0-1,-7,32,10,-20
1-0,5,0,10,10
1/2-1/2,1,32,20,20
1/2-1/2,3,23,10,10
1/2-1/2,9,1,-10,0
1/2-1/2,15,29,0,20
1-0,2,33,20,10
1-0,2,38,20,10
1-0,2,2,20,10
1-0,-2,3,0,-20
1-0,-4,23,10,-20
0-1,-1,50,-10,-20
0-1,-1,39,-10,-20
0-1,-1,0,0,-20
1/2-1/2,1,6,-10,0
1/2-1/2,1,3,0,0
1/2-1/2,9,1,10,20
1/2-1/2,9,25,0,10
1-0,3,26,20,30
1-0,6,12,10,10
1-0,6,0,10,20
1-0,1,36,20,30
1-0,-3,35,0,0
1-0,-4,23,10,10
1-0,-5,18,10,10
0-1,-2,31,0,-20
0-1,-7,3,0,-10
0-1,3,45,-10,-10
0-1,-2,21,10,0
0-1,-1,22,0,0
1-0,-1,5,-10,-10
1-0,1,24,0,10
1-0,1,0,0,0
0-1,-6,0,-10,10
0-1,-1,2,10,10
1-0,1,48,0,0
1-0,2,0,0,-20
0-1,8,45,-10,-30
0-1,-1,34,0,-10
0-1,-2,26,-10,-10
1-0,6,28,10,10
0-1,2,41,10,10
0-1,-6,39,0,0
0-1,1,45,20,20
0-1,1,25,10,20
0-1,1,22,10,30
0-1,1,5,10,20
1-0,1,33,40,20
1-0,4,25,20,0
1-0,-1,38,10,20
1-0,-1,31,0,0
1-0,-4,31,0,0
1-0,-4,30,0,-10
1-0,-4,28,-30,0
1-0,-1,0,0,10
0-1,4,41,-10,-10
0-1,1,28,-10,-10
1-0,1,0,0,-10
0-1,-1,31,0,30
0-1,-1,33,0,20
0-1,3,5,-20,-20
0-1,-14,4,0,-30
0-1,1,33,-10,-10
0-1,-3,18,0,-10
0-1,-5,18,-10,-10
0-1,-7,16,10,0
0-1,-15,36,0,10
0-1,-15,0,0,10
0-1,-9,19,0,-10
1-0,5,23,10,20
1-0,12,26,0,10
0-1,-5,27,-10,-20
1-0,5,29,10,0
0-1,3,25,10,20
0-1,-1,35,10,0
0-1,4,21,0,20
0-1,-5,30,10,20
0-1,-8,25,10,20
1-0,-1,29,0,0
1-0,1,18,10,20
0-1,-2,44,0,-10
0-1,-4,32,-10,0
0-1,-5,11,-10,-10
1-0,2,36,10,50
1-0,3,23,0,20
1-0,10,16,10,40
1-0,18,0,0,30
0-1,-2,44,-10,-20
0-1,-16,38,-10,-30
0-1,-17,0,-10,-30
0-1,8,2,10,0
0-1,-7,36,10,10
0-1,-11,7,10,20
0-1,-1,30,-10,0
0-1,-1,14,-10,-20
0-1,-1,11,-20,-20
0-1,-4,5,-20,-20
0-1,-6,29,0,20
0-1,-7,25,0,10
0-1,-4,34,0,0
0-1,-14,33,0,0
0-1,-16,0,0,-20
1-0,14,0,0,10
1-0,1,36,20,30
1-0,2,30,30,40
1-0,11,9,20,20
1-0,1,4,0,20
1-0,2,24,10,0
1-0,2,0,10,0
1-0,2,16,20,20
1-0,8,0,0,0
1/2-1/2,1,21,-20,0
1/2-1/2,1,19,-10,0
1/2-1/2,-2,11,-10,-10
1/2-1/2,-3,2,0,0
1-0,8,35,0,0
1-0,9,0,-10,-10
1-0,3,43,10,0
1-0,6,0,0,20
1-0,4,30,0,40
0-1,1,2,0,0
0-1,5,1,0,-20
0-1,-12,32,0,-20
1-0,2,61,0,-10
1-0,2,39,10,20
1-0,-1,5,20,40
1-0,-1,17,20,20
1-0,11,27,0,10
1-0,21,13,0,0
1-0,19,2,0,30
1-0,19,0,0,20
1-0,2,31,0,0
1-0,6,27,0,-10
1-0,2,26,0,-10
1-0,5,1,0,0
0-1,-1,17,0,-10
0-1,-2,14,0,0
0-1,2,3,0,0
0-1,-3,5,0,-20
0-1,-4,1,0,-10
0-1,-1,30,0,0
1-0,3,40,0,-10
1-0,-2,39,10,10
1-0,7,3,10,10
1-0,17,7,10,20
1-0,7,15,0,20
1-0,3,25,0,-10
1-0,3,0,-10,-10
1-0,3,40,-10,-10
1-0,8,1,10,0
0-1,1,37,10,30
0-1,1,40,0,20
0-1,-2,22,0,-20
1-0,1,41,10,20
1-0,-2,18,0,20
0-1,-1,35,10,0
0-1,-2,37,0,20
0-1,-2,34,0,10
0-1,-2,28,0,10
0-1,-9,16,-20,-30
0-1,-8,30,0,-20
0-1,-13,31,0,-10
0-1,-21,44,0,-10
0-1,-29,0,0,-10
0-1,1,30,10,30
0-1,1,3,10,0
0-1,-1,45,0,10
1-0,-1,5,10,30
1-0,-3,8,10,10
1-0,7,19,0,-20
1-0,10,5,0,-10
1-0,12,0,0,0
0-1,-4,3,-10,-10
0-1,-14,31,0,20
0-1,-14,0,0,20
0-1,1,49,10,0
1/2-1/2,-5,18,0,0
1-0,1,30,10,0
1-0,4,3,0,20
1-0,5,0,0,30
1-0,2,36,0,30
1-0,3,20,0,-10
1-0,11,0,0,-10
0-1,1,34,10,0
0-1,-1,34,-30,-30
1/2-1/2,5,28,-10,-10
1/2-1/2,4,6,-10,0
1/2-1/2,4,14,0,10
1/2-1/2,7,14,0,0
1/2-1/2,7,23,0,10
0-1,-1,1,-10,-10
1-0,9,2,-10,10
1-0,9,17,-20,10
0-1,2,37,20,20
0-1,-10,40,-10,20
0-1,-18,3,0,0
1-0,8,32,10,10
1-0,16,29,-10,-10
1-0,15,28,0,10
0-1,4,35,0,0
0-1,-1,33,0,-20
0-1,-4,18,-20,-30
0-1,-4,13,-10,-20
0-1,-12,0,-10,-20
0-1,3,38,10,20
0-1,13,25,20,-10
0-1,10,35,10,-10
0-1,-1,4,0,20
0-1,-3,37,0,20
0-1,1,16,0,0
1-0,6,2,0,-10
1-0,6,19,0,-20
1-0,7,2,10,0
1-0,19,45,10,0
0-1,1,33,10,10
0-1,-1,43,-10,-30
0-1,-6,28,-10,-20
0-1,-4,0,0,0
1/2-1/2,3,40,0,10
1/2-1/2,5,41,-10,0
1/2-1/2,7,2,0,-10
1/2-1/2,2,5,0,0
1-0,1,34,10,-10
1-0,3,28,10,10
1-0,3,30,10,10
0-1,1,36,10,10
0-1,1,0,10,40
1-0,3,41,0,10
1-0,2,46,0,-10
1-0,7,30,10,0
1-0,16,5,10,-10
1-0,13,5,10,20
1-0,13,1,0,10
0-1,-6,53,10,20
0-1,-8,0,0,20
1-0,1,45,10,0
1-0,1,22,10,-10
1-0,4,17,-10,-10
1-0,4,6,0,10
1-0,2,10,-10,10
0-1,-6,1,-10,-10
1-0,1,3,0,-10
1-0,2,2,0,0
1-0,-1,33,-10,-20
1-0,-2,37,-10,-30
1-0,-1,36,-10,-30
0-1,9,2,-10,-10
0-1,-2,29,0,-10
0-1,-6,31,0,-20
0-1,-3,16,0,-20
0-1,-12,42,-10,-10
0-1,-12,0,0,-10
1/2-1/2,-3,33,-10,0
1/2-1/2,-1,30,-20,-10
1/2-1/2,-1,34,-10,-10
1/2-1/2,-7,20,-10,10
1/2-1/2,-6,20,0,0
1/2-1/2,-6,3,0,0
1-0,1,38,20,30
1-0,3,28,10,0
1-0,4,9,10,-10
1-0,4,5,-10,-30
1-0,4,4,0,0
1-0,4,5,0,10
0-1,-6,40,0,-10
1-0,1,0,0,-10
1-0,2,24,0,20
1-0,-1,1,0,-10
1-0,7,10,10,10
0-1,-3,22,0,10
1-0,1,33,0,0
1-0,-8,44,-10,10
0-1,4,33,0,10
0-1,-4,16,0,-30
0-1,1,22,20,40
0-1,1,15,0,20
0-1,-1,8,-10,-10
0-1,-11,25,0,-10
0-1,-11,22,0,-10
0-1,-1,25,-10,-20
0-1,1,46,-10,-30
1-0,1,18,0,10
0-1,1,30,0,10
0-1,-7,39,0,10
0-1,-5,36,10,0
0-1,-8,0,20,10
0-1,-5,38,10,30
0-1,-14,34,10,0
0-1,-14,10,10,0
1/2-1/2,1,40,0,-20
1/2-1/2,-1,23,0,0
1/2-1/2,-1,4,10,10
1/2-1/2,-2,5,10,0
1/2-1/2,-2,9,0,-10
1-0,-1,26,0,-20
1-0,-1,29,0,-20
1-0,-2,35,0,-20
0-1,4,34,-10,10
0-1,3,3,0,0
0-1,-1,5,20,-10
0-1,-3,3,20,20
0-1,1,36,0,0
0-1,1,0,20,20
0-1,2,2,-10,-10
0-1,3,3,0,20
0-1,3,14,0,10
0-1,2,16,0,20
0-1,1,30,10,-10
0-1,-1,10,-10,-20
0-1,-5,5,-10,-10
0-1,-13,4,0,-10
1-0,3,28,0,-10
1-0,4,14,0,10
1-0,15,11,0,0
1-0,15,7,0,0
0-1,-1,38,10,20
0-1,-1,26,0,0
0-1,-4,43,20,20
0-1,-15,3,10,20
0-1,1,19,10,10
1-0,-1,32,10,0
1-0,1,51,-10,-20
1-0,8,31,0,-20
1-0,8,4,0,-10
1-0,2,26,0,0
1-0,9,32,0,0
1-0,9,25,0,-10
0-1,-6,36,0,10
0-1,-7,36,-10,-10
0-1,-8,28,-10,0
0-1,-9,0,0,0
1-0,-1,43,0,-10
1-0,-3,37,0,10
1-0,-6,20,0,10
1-0,2,0,-10,0
0-1,-1,32,10,20
0-1,-2,22,20,10
0-1,-1,52,-10,-30
0-1,-17,45,0,-10
0-1,-19,0,-10,-20
1-0,-2,31,0,10
1-0,-3,32,-10,0
1-0,3,18,10,0
1-0,8,4,0,10
1-0,2,37,0,-20
1-0,6,20,0,30
1-0,7,0,0,20
1-0,2,42,-10,10
1-0,-4,1,0,10
1-0,-1,40,-10,-30
1-0,4,25,10,10
1-0,5,25,10,20
0-1,5,41,0,0
0-1,8,16,-10,10
0-1,-2,22,-10,-10
0-1,-5,8,0,-20
1-0,9,22,0,10
1-0,2,38,0,0
1-0,4,28,20,0
0-1,2,39,-20,-10
0-1,-9,13,0,-30
1-0,3,3,0,20
1-0,4,24,0,0
1-0,8,15,20,30
1-0,7,0,10,30
0-1,-1,45,-10,-20
0-1,4,38,-10,-10
0-1,3,0,-10,-10
1-0,2,27,-10,10
1-0,3,36,10,10
0-1,3,37,0,-20
0-1,2,31,-20,-30
0-1,2,2,0,0
0-1,4,2,0,20
0-1,3,2,0,10
0-1,8,22,0,10
0-1,-2,29,0,-20
0-1,-2,43,0,-20
1-0,8,35,0,0
1-0,13,0,10,10
0-1,6,5,-10,10
0-1,-6,36,-20,0
0-1,-11,39,-10,0
0-1,-18,0,0,0
1-0,-2,46,-20,-20
1-0,-3,29,10,20
1-0,-2,44,0,0
0-1,-10,32,20,0
0-1,-10,31,20,-10
1-0,1,32,10,20
1-0,-3,34,0,-10
1-0,-4,29,0,-10
1-0,-3,20,-20,-30
1-0,-3,19,0,-10
1-0,-2,19,0,-10
0-1,5,25,-10,20
0-1,-11,44,0,20
0-1,-14,49,-20,10
0-1,2,0,10,20
0-1,-2,33,0,20
0-1,-3,1,0,-10
0-1,3,36,-10,-20
0-1,8,31,10,20
0-1,-1,46,0,0
1-0,7,1,20,-10
1-0,-1,3,0,0
1-0,2,12,10,10
1-0,2,4,10,10
1-0,2,15,0,10
0-1,-13,44,-10,0
0-1,-12,44,-10,10
0-1,-14,8,0,10
0-1,1,33,0,10
0-1,1,0,0,10
1-0,8,38,0,10
1-0,9,4,10,0
1-0,1,44,0,-10
1-0,1,35,0,-10
1-0,3,1,10,20
0-1,-1,32,0,10
0-1,-3,24,-10,-20
0-1,-7,43,0,0
0-1,-19,39,0,-20
0-1,-19,0,0,-10
0-1,1,29,0,-20
0-1,1,36,0,-10
0-1,-1,22,-20,-40
1-0,3,27,10,20
1-0,7,31,10,-10
1-0,8,1,10,10
1-0,8,0,10,10
1-0,1,39,0,20
1-0,1,1,10,10
1-0,1,0,10,10
0-1,2,33,0,10
0-1,8,19,20,30
0-1,13,3,0,20
0-1,20,51,0,20
1-0,-1,26,10,-10
1-0,8,23,-10,-30
1-0,8,1,0,10
1-0,8,0,0,10
1/2-1/2,1,29,0,20
1/2-1/2,1,29,0,20
0-1,-2,36,0,20
0-1,-2,4,-10,20
0-1,3,41,10,-10
0-1,2,32,10,-10
0-1,-7,1,0,-10
1-0,3,4,-10,20
1-0,1,0,0,20
0-1,-1,38,10,20
0-1,-1,36,0,-10
0-1,-2,0,0,-10
1-0,1,31,-10,20
1-0,-2,0,-10,-20
0-1,-3,38,-10,-10
0-1,-9,4,-10,0
0-1,-1,40,0,-10
0-1,-6,20,10,0
1-0,1,3,-10,10
0-1,1,26,20,30
0-1,-3,43,10,10
0-1,2,1,0,-20
0-1,-1,24,-10,-20
0-1,-1,25,0,-30
1-0,2,26,0,-20
1-0,3,24,10,0
0-1,-1,38,0,0
1-0,4,1,0,-10
1-0,8,0,-10,-10
0-1,-1,42,-20,-10
0-1,3,25,10,40
0-1,1,23,-10,-20
0-1,1,4,-10,-10
0-1,-7,2,0,-10
1-0,5,3,20,10
1-0,7,4,10,20
1-0,2,31,-10,20
0-1,2,18,10,-10
0-1,1,29,0,0
0-1,-1,21,0,-10
0-1,2,42,10,0
0-1,2,48,10,-20
0-1,-1,31,0,0
0-1,-8,29,0,0
0-1,-8,25,0,10
0-1,-1,28,0,0
0-1,-4,43,0,0
0-1,-3,27,10,10
1-0,-1,4,20,20
1-0,15,0,0,20
0-1,-4,0,10,20
1-0,2,30,10,20
1-0,-2,1,20,20
0-1,-4,25,10,30
0-1,-7,40,0,20
0-1,1,32,20,40
0-1,1,3,10,30
0-1,1,16,0,-10
0-1,1,17,0,10
0-1,-1,16,10,10
0-1,-14,46,-10,-10
0-1,-14,3,0,0
0-1,-1,36,0,-30
0-1,-1,18,-10,-10
0-1,-1,6,0,0
0-1,-1,41,-10,-30
0-1,-11,29,-10,-10
0-1,-10,0,-10,10
1-0,-2,41,0,-10
1-0,-2,1,-10,-10
0-1,-3,34,0,0
0-1,-3,2,20,30
1-0,4,40,10,10
1-0,1,37,10,10
1-0,1,23,10,10
1-0,1,13,30,30
1-0,10,3,10,0
1-0,8,2,0,10
1-0,9,0,0,10
0-1,-1,0,20,20
1-0,2,39,20,-10
1-0,3,4,20,20
1-0,6,27,0,0
1-0,3,36,-10,0
1-0,4,36,0,10
1-0,16,15,0,10
0-1,-2,56,-10,-10
0-1,-3,4,0,0
1-0,2,28,0,20
1-0,12,21,20,30
1-0,8,19,20,40
0-1,-1,31,0,0
0-1,-1,0,-10,0
1-0,9,25,20,30
0-1,1,25,0,0
0-1,2,34,-10,-10
0-1,-1,19,0,-10
0-1,-2,18,0,-10
0-1,-9,25,-10,-10
1-0,-3,18,10,20
1-0,-2,30,30,30
1-0,-3,21,20,50
1-0,5,10,10,20
1-0,17,3,10,20
1-0,17,0,0,20
0-1,-3,28,10,10
0-1,-4,23,-10,-20
1-0,5,34,0,10
1-0,3,1,0,10
1-0,4,15,0,10
1-0,4,14,0,10
1-0,3,15,10,20
1-0,1,6,-10,0
1-0,1,6,0,-10
1-0,-2,40,20,30
1-0,-2,27,20,20
1-0,5,11,10,0
1-0,5,9,20,10
0-1,-2,20,10,10
0-1,3,8,10,20
0-1,-9,28,10,20
0-1,-10,4,0,0
1-0,6,29,10,30
1-0,2,16,-10,-20
1-0,12,4,10,10
1-0,16,0,0,-10
0-1,-9,41,0,10
1-0,1,34,0,10
1-0,1,35,0,30
0-1,5,20,0,0
0-1,6,19,0,0
0-1,10,4,0,20
0-1,10,29,0,20
1/2-1/2,4,19,-10,-20
1/2-1/2,2,21,0,-10
1/2-1/2,-9,29,-10,0
1/2-1/2,-9,0,0,-20
0-1,-1,38,0,10
0-1,-1,36,0,10
0-1,-1,17,-10,-20
0-1,-3,36,-10,-20
0-1,-2,29,0,0
1/2-1/2,-2,27,10,0
1/2-1/2,-1,37,10,-10
1/2-1/2,-1,31,0,-20
1/2-1/2,-5,3,0,0
1/2-1/2,7,3,0,-20
1/2-1/2,-3,18,0,0
1/2-1/2,-4,16,0,0
1/2-1/2,-5,21,-10,-20
0-1,3,44,-10,-10
0-1,2,0,0,0
1-0,4,5,0,0
1-0,10,6,0,-10
1-0,-1,57,10,0
1-0,2,25,-10,0
1-0,-8,29,0,-10
1-0,-8,25,0,0
0-1,3,33,0,10
0-1,2,27,0,0
0-1,-3,27,0,-10
0-1,-6,0,0,-10
0-1,1,28,20,30
0-1,-1,44,0,-20
0-1,-1,0,0,-20
0-1,7,30,-10,10
0-1,6,47,0,20
0-1,1,0,10,20
1-0,6,5,-10,-20
1-0,10,18,-20,-10
1-0,8,9,-10,-10
1-0,16,3,-10,0
1-0,14,1,0,20
1-0,3,34,10,20
1-0,1,27,20,20
1-0,1,34,10,20
1-0,2,1,10,10
1-0,1,36,0,10
1-0,1,45,10,20
1-0,1,35,0,10
1-0,1,22,0,10
1-0,1,8,20,20
1-0,3,10,0,10
1/2-1/2,1,41,-20,-30
1/2-1/2,1,40,-10,-20
1/2-1/2,1,33,0,-30
1/2-1/2,1,33,0,-30
1-0,1,31,-10,20
1-0,5,36,-10,-10
1-0,3,41,-10,-10
0-1,6,39,20,10
0-1,2,42,10,-20
0-1,2,34,-30,-40
0-1,-8,0,-10,-30
0-1,1,3,-20,0
0-1,2,20,-10,-20
0-1,4,35,-10,-20
0-1,3,34,10,20
0-1,3,32,10,-10
0-1,3,25,0,0
0-1,4,4,10,10
0-1,8,23,-10,-20
0-1,9,18,0,-20
0-1,6,14,0,-20
1-0,-1,20,10,20
1-0,7,11,0,0
1-0,1,31,0,30
1-0,5,2,0,10
1-0,5,0,0,10
1-0,1,35,10,20
1-0,4,4,10,-10
1-0,3,22,10,20
1-0,3,18,10,10
1-0,10,14,0,10
1-0,1,27,10,40
1-0,-1,45,10,-10
1-0,1,41,10,30
1-0,7,2,0,10
1-0,7,11,0,30
1-0,1,7,-10,-10
1-0,9,5,0,0
1-0,2,33,10,0
1-0,-2,0,0,0
0-1,-1,28,-10,-10
0-1,-1,45,-20,-50
0-1,-8,40,-10,-20
1-0,6,43,0,-20
1-0,2,27,0,0
1-0,2,2,0,0
1-0,5,3,10,30
1-0,13,1,-10,-10
1-0,13,11,0,-10
0-1,1,27,10,0
0-1,-2,21,0,0
0-1,-2,25,-10,0
0-1,-12,26,0,20
1-0,3,0,20,20
0-1,1,33,0,10
0-1,4,37,0,20
0-1,-1,6,0,10
0-1,3,39,0,0
0-1,4,41,0,-10
0-1,-5,42,0,0
0-1,-5,30,0,20
0-1,-12,20,0,10
0-1,4,5,20,10
0-1,2,38,10,10
0-1,-5,25,0,20
0-1,3,30,0,10
0-1,-1,30,10,20
0-1,-3,6,-10,0
0-1,-4,0,0,-10
0-1,-3,36,0,-10
0-1,-11,42,-10,-10
0-1,-21,0,10,0
1/2-1/2,3,31,0,-10
1/2-1/2,3,34,-10,-10
1/2-1/2,2,5,0,0
1/2-1/2,2,6,-10,-20
1/2-1/2,1,5,0,0
1/2-1/2,1,2,0,10
1/2-1/2,1,2,0,0
1-0,-1,32,0,10
1-0,1,22,-10,0
1-0,10,14,0,10
1-0,14,0,0,10
1-0,3,39,-10,-10
0-1,1,43,-10,20
0-1,1,42,0,20
0-1,-4,37,0,-10
0-1,-9,2,0,0
1-0,7,17,20,0
1-0,6,14,0,0
1-0,18,4,0,0
1-0,18,0,0,0
1-0,-1,54,10,-30
1-0,2,34,10,20
1-0,6,14,10,20
1-0,2,5,10,0
1-0,8,2,10,20
1-0,1,21,0,10
1-0,1,31,0,10
1-0,1,30,0,20
1-0,-3,14,-10,-30
1-0,6,4,-10,-20
1-0,6,6,0,0
1-0,8,4,0,10
1-0,8,0,0,0
1-0,1,30,-10,0
1/2-1/2,2,3,10,10
1/2-1/2,3,2,0,0
0-1,1,33,-10,-20
0-1,-4,45,-20,-30
0-1,-6,49,10,10
0-1,-11,32,20,20
0-1,-13,5,0,0
0-1,-3,32,10,10
1-0,6,48,10,-20
1-0,13,32,0,10
1-0,2,25,0,10
0-1,-1,4,0,10
0-1,3,27,0,10
0-1,-4,7,0,-10
0-1,-8,32,0,-20
0-1,-10,28,0,0
0-1,-10,13,0,0
1-0,-4,25,0,-10
1-0,-3,38,0,20
1-0,-1,18,0,-20
1-0,-1,16,0,-10
0-1,-1,33,-10,-20
0-1,-2,48,-10,-30
0-1,-21,55,-10,-10
0-1,-29,6,-10,-10
0-1,-2,31,10,20
0-1,-4,29,10,20
0-1,-7,13,0,10
0-1,1,38,0,-10
0-1,-6,24,0,-10
1-0,-2,40,10,0
1-0,3,1,0,-10
1-0,1,20,0,0
1-0,1,19,0,-20
1-0,-1,49,-10,0
1-0,3,37,-10,10
1-0,4,35,10,30
0-1,1,29,20,10
0-1,1,34,30,10
0-1,-2,6,20,10
0-1,-10,49,0,0
0-1,-10,0,0,10
1-0,2,3,-10,0
1-0,8,15,10,0
0-1,1,27,0,-10
0-1,1,39,0,0
0-1,2,32,0,10
0-1,-1,38,20,30
1-0,2,42,-20,-20
1-0,-1,45,-20,-30
0-1,4,1,0,0
0-1,2,16,-10,0
0-1,-2,43,-10,-10
0-1,1,4,0,-20
0-1,1,37,0,-10
0-1,1,31,0,0
0-1,-6,15,0,-10
0-1,3,29,10,0
0-1,1,44,0,-30
0-1,1,30,-10,-30
0-1,-1,20,-20,-20
0-1,-1,0,-20,-20
1-0,3,46,10,0
1-0,-2,47,-10,-10
1-0,2,25,-10,20
1-0,1,4,0,10
0-1,5,1,0,-10
0-1,-6,38,0,-10
0-1,-6,29,-10,-40
0-1,-6,3,-30,-60
0-1,-16,33,-10,-30
0-1,-16,3,-10,-30
1-0,1,45,0,0
1-0,8,37,10,10
1-0,5,20,20,30
1-0,6,6,10,10
1-0,1,26,10,20
1-0,10,36,-10,10
1-0,14,0,10,20
1-0,12,2,20,30
1-0,19,0,20,20
1-0,1,45,0,30
1-0,12,0,10,30
1-0,4,3,0,10
1-0,10,3,-10,10
1-0,10,0,-10,-20
1-0,1,0,10,0
1-0,6,48,0,-30
1-0,15,38,0,10
1-0,10,17,0,10
1-0,13,11,20,40
1-0,3,35,20,30
1-0,12,0,10,30
0-1,-8,2,30,30
0-1,-10,20,0,-10
1-0,9,23,10,20
1-0,11,4,0,20
0-1,-6,34,10,10
1-0,2,34,10,30
1-0,-3,33,10,30
1-0,-1,31,0,20
1-0,1,29,0,20
1-0,-1,44,-10,0
1-0,6,38,20,30
1-0,6,0,10,10
0-1,-1,39,-10,-20
0-1,-6,31,0,10
0-1,-5,34,20,20
0-1,-9,0,20,10
1-0,1,46,-10,10
1-0,3,40,10,50
1-0,7,18,0,-10
1-0,15,0,0,-10
1-0,3,36,10,30
1-0,1,8,0,0
1-0,2,6,0,0
1-0,10,1,0,0
1-0,1,42,20,10
1-0,-4,32,10,0
1-0,-4,35,10,10
1-0,-1,5,0,10
1-0,-1,12,0,20
0-1,-3,50,20,0
0-1,-4,38,0,-40
0-1,-6,43,10,-10
0-1,-15,1,0,-30
0-1,-8,26,0,-10
1-0,5,30,10,30
1-0,-1,26,10,0
1-0,-2,40,0,-20
1-0,5,1,10,0
0-1,-2,3,0,-10
1-0,2,36,0,30
1-0,1,0,-10,0
1-0,5,44,-10,-20
1-0,11,18,0,10
1-0,11,2,0,10
0-1,5,1,-10,-30
0-1,-5,32,0,-10
0-1,-4,21,0,-20
0-1,-5,17,0,-10
0-1,-5,1,0,-20
1-0,-2,5,10,10
1-0,1,29,10,10
1-0,1,5,-10,-10
1-0,1,36,-10,10
1-0,-3,25,0,10
1-0,-3,28,0,10
1-0,-2,18,-10,-10
1-0,4,4,-10,-20
1-0,5,11,0,10
1-0,2,26,0,0
1-0,5,36,-10,-20
1-0,4,29,-30,-30
1-0,5,21,0,-20
1-0,3,2,0,-20
1-0,6,0,0,-10
0-1,-2,41,10,20
0-1,-4,25,10,20
0-1,-1,39,-10,-10
0-1,-4,5,10,-20
0-1,-1,22,0,20
0-1,-2,33,0,10
1-0,1,43,0,20
1-0,3,37,0,20
1-0,5,24,0,20
1-0,6,43,0,10
1-0,6,6,0,0
1-0,9,1,0,20
1-0,17,3,10,30
1-0,17,0,10,20
0-1,-6,46,10,-10
0-1,-10,23,0,0
1-0,2,0,10,-10
0-1,1,20,0,10
0-1,1,19,10,10
0-1,-1,21,0,-10
0-1,-1,19,0,0
0-1,1,43,10,-10
0-1,-8,28,-10,-20
1-0,1,40,0,20
1-0,6,36,30,40
1-0,15,0,10,20
0-1,-3,32,10,30
0-1,-8,25,0,10
0-1,-17,11,0,0
1-0,4,1,0,30
1/2-1/2,-2,30,-20,-20
1/2-1/2,-3,38,0,10
1/2-1/2,2,3,-10,-10
1/2-1/2,3,6,0,-10
1/2-1/2,4,17,0,-10
1-0,1,25,0,-10
1-0,1,41,0,0
1-0,-3,29,0,-20
1-0,-1,22,0,0
1-0,1,18,0,-10
1-0,1,14,10,10
1-0,4,31,-10,-20
0-1,3,40,10,20
0-1,2,37,20,30
0-1,-2,26,0,20
0-1,-8,2,0,10
0-1,-3,46,0,10
0-1,-5,47,0,-30
0-1,-5,45,-10,-30
0-1,3,34,20,10
0-1,1,42,10,10
0-1,-8,30,10,0
0-1,-8,42,0,-20
0-1,-10,42,10,0
0-1,-13,0,10,0
1-0,-1,28,20,10
1-0,-1,40,0,-10
1-0,4,2,10,20
1-0,7,30,10,10
1-0,2,30,-10,0
1-0,3,27,-10,0
0-1,-5,34,20,40
0-1,-9,13,-10,0
0-1,1,37,20,10
0-1,1,0,20,-10
0-1,-1,40,0,-10
0-1,-2,0,0,-10
1-0,-1,29,0,-20
1-0,2,2,0,0
1-0,-1,0,0,-20
0-1,-3,35,-10,0
1-0,-1,44,-10,-20
1-0,-3,0,0,-10
1-0,-1,46,20,0
1-0,9,23,-10,-10
0-1,5,30,20,20
0-1,4,9,10,20
0-1,4,20,-10,0
0-1,-4,3,-10,0
0-1,-1,38,-10,-20
0-1,-1,25,0,0
0-1,-2,26,10,30
0-1,-2,29,10,20
0-1,-6,29,0,0
0-1,-10,6,0,0
1-0,1,41,20,20
1-0,5,2,20,0
1-0,4,0,20,0
0-1,-3,33,10,20
0-1,-12,21,0,0
0-1,2,31,10,10
0-1,-2,1,20,0
0-1,-4,0,10,0
1-0,4,30,20,50
1-0,4,44,0,0
1-0,9,24,0,-20
1-0,8,0,0,-20
0-1,2,49,10,10
0-1,4,41,10,10
0-1,-3,28,10,10
0-1,-3,23,10,10
1-0,3,40,10,20
1-0,9,1,0,0
1-0,13,1,0,20
1-0,7,31,0,30
1-0,13,0,0,10
0-1,-4,45,0,10
0-1,-5,51,0,0
0-1,-1,29,-10,0
0-1,-6,8,10,10
1-0,3,32,20,20
1-0,1,27,10,20
1-0,2,17,0,10
1-0,2,12,0,0
1-0,1,0,10,0
1-0,3,46,-10,0
1-0,17,20,10,20
1-0,23,1,0,20
1-0,22,0,10,30
0-1,-10,44,0,30
0-1,-7,44,-10,0
0-1,-7,34,0,-10
0-1,-8,36,0,0
0-1,-4,12,0,10
1-0,1,36,10,10
1-0,10,28,0,10
1-0,-6,42,-10,-10
1-0,-6,31,0,0
1-0,-1,1,0,0
1-0,1,1,10,20
1-0,9,2,10,40
1-0,14,16,10,10
1-0,18,3,10,10
1-0,2,30,10,10
1-0,3,39,0,-20
