Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,AN
 Blitz ,johnsama,companal2,1-0,2016.06.30,22:00:31,1673,1739,13,-12,C01,"French Defense: Exchange Variation, Monte Carlo Variation",360+0,Normal,1. e4 e6 2. d4 d5 3. exd5 exd5 4. c4 c6 5. Nf3 g6 6. Nc3 Bg7 7. Be3 Ne7 8. Be2 O-O 9. O-O Nf5 10. Bd2 Nxd4 11. Nxd4 Bxd4 12. Re1 Qf6 13. Rf1 Na6 14. Bh6 Re8 15. Bf3 Bxc3 16. bxc3 g5 17. Bxg5 Qxg5 18. cxd5 cxd5 19. Rb1 Nc5 20. Rb5 Ne4 21. Rxd5 Qg6 22. Bxe4 Rxe4 23. Rd8+ Kg7 24. c4 Bh3 25. Qa1+ Kh6 26. Qc1+ Kg7 27. Qc3+ Qf6 28. Qxf6+ Kxf6 29. Rxa8 Be6 30. Rxa7 Rxc4 31. Rxb7 Ra4 32. Rb2 Bxa2 33. Rb6+ Ke5 34. h3 Kd4 35. Rd1+ Kc5 36. Rh6 1-0
 Bullet ,fsanna,MINSK_VAMPIRE,0-1,2016.06.30,22:00:34,1857,1887,-10,9,D04,Queen's Pawn Game: Colle System,0+1,Time forfeit,1. d4 Nf6 2. e3 d5 3. Nf3 Nc6 4. c4 Bf5 5. cxd5 Nb4 6. Nc3 Nc2+ 7. Kd2 Nxa1 8. b4 Bc2 9. Qe2 Bg6 10. Qb5+ Qd7 11. Qxb7 Rd8 12. Ne5 Qd6 13. Nb5 Qxd5 0-1
 Bullet tournament ,amateur2016,knightfactor,1-0,2016.06.30,22:00:36,2196,2261,15,-14,A00,Mieses Opening,60+0,Normal,1. d3 d5 2. Bd2 e6 3. Qc1 Be7 4. a4 f5 5. a5 Nf6 6. h4 a6 7. h5 Nc6 8. h6 g6 9. g3 Bd7 10. Bg2 Kf7 11. c4 Rg8 12. Nf3 g5 13. Nxg5+ Ke8 14. Bf3 Nd4 15. Qc3 Nxf3+ 16. Nxf3 c6 17. Ne5 Qc7 18. Bf4 Bd6 19. cxd5 cxd5 20. Qxc7 Bxc7 21. Nxd7 Bxf4 22. Nxf6+ Kf7 23. Nxg8 Rxg8 24. gxf4 Rg2 25. Nd2 1-0
 Bullet tournament ,chupakabr,Skiter,0-1,2016.06.30,22:00:36,2070,2021,-14,15,C46,Three Knights Opening,60+0,Time forfeit,1. e4 e5 2. Nf3 Nc6 3. Nc3 Bc5 4. d3 d6 5. Be3 Bg4 6. Bxc5 dxc5 7. h3 Bh5 8. g4 Bg6 9. Nd5 Nge7 10. Ne3 f6 11. h4 Nd4 12. g5 b6 13. gxf6 gxf6 14. h5 Bf7 15. Nh4 Qd6 16. Ng6 hxg6 17. hxg6 Rxh1 18. gxf7+ Kxf7 19. Qg4 Rg8 20. Qd1 Rgg1 21. c3 Ne6 22. Qb3 Ke8 23. O-O-O Kd8 24. d4 exd4 25. cxd4 cxd4 26. Nc4 Qd7 27. e5 Rxf1 28. Rxf1 Rxf1+ 29. Kd2 f5 30. Qh3 Rxf2+ 31. Ke1 Rc2 32. Qh8+ Qe8 33. Qxe8+ Kxe8 34. Nd2 Nd5 35. Kd1 Ne3+ 36. Ke1 Nf4 37. Kf2 Nd3+ 0-1
 Blitz ,shahmatchi,lorb,1-0,2016.06.30,22:00:36,1703,1778,13,-13,C33,"King's Gambit Accepted, Breyer Gambit",120+8,Normal,1. e4 e5 2. f4 exf4 3. Qf3 g5 4. d4 d5 5. e5 Bf5 6. Bd3 Bxd3 7. Qxd3 Nc6 8. c3 f6 9. Nf3 Qe7 10. O-O fxe5 11. Nxe5 Nxe5 12. dxe5 c6 13. Bd2 O-O-O 14. Na3 Bg7 15. Rae1 Qe6 16. Nc2 c5 17. b4 c4 18. Qd4 Qb6 19. Qxb6 axb6 20. Nd4 Ne7 21. a4 Ng6 22. Ne6 Rd7 23. Nxg5 h6 24. Ne6 Bxe5 25. Nxf4 Bxf4 26. Bxf4 Nxf4 27. Rxf4 Rg8 28. Rf6 Rdg7 29. g3 Rg6 30. Rfe6 Kc7 31. Re7+ Kc6 32. R1e6+ Rxe6 33. Rxe6+ Kc7 34. Rxh6 1-0
 Classical ,prostoman,Atomalpol,0-1,2016.06.30,22:00:37,1559,1754,-6,6,C23,Bishop's Opening,300+8,Normal,1. e4 e5 2. Bc4 h6 3. Nf3 Nf6 4. Nxe5 Qe7 5. Bxf7+ Kd8 6. Ng6 Qxf7 7. Nxh8 Qe7 8. O-O g5 9. d4 Qg7 10. e5 Nd5 11. Qf3 Qxh8 12. Qxd5 Nc6 13. c3 b6 14. Na3 Bb7 15. Qf7 Be7 16. f4 Qf8 17. Qh5 Ba6 18. Rf2 d6 19. Qxh6 Qxh6 20. fxg5 Bxg5 21. Bxg5+ Qxg5 22. Rf8+ Kd7 23. Rxa8 Bb7 24. Rf8 Ne7 25. exd6 Qxg2# 0-1
 Classical ,jluctruc,athrye,0-1,2016.06.30,22:00:37,1238,1297,-15,9,B20,Sicilian Defense: Mengarini Variation,300+8,Normal,1. e4 c5 2. a3 d5 3. d3 b5 4. Be2 Bb7 5. Bh5 g6 6. Be2 Bg7 7. Bd2 Bxb2 8. Ra2 Be5 9. Nf3 Bg7 10. Bc3 d4 11. Bb2 Nc6 12. a4 Qa5+ 13. Nbd2 bxa4 14. O-O O-O-O 15. Nc4 Qc7 16. Rxa4 Nb4 17. Rxa7 Kb8 18. Ra5 Qf4 19. g3 Qh6 20. Rb5 Nf6 21. Bc1 Qh3 22. Bf4+ Kc8 23. Rxc5+ Kd7 24. Rc7+ Ke8 25. Ng5 Qh6 26. Rxb7 Ng4 27. Rxb4 Qxh2# 0-1
 Blitz ,Aushev_1,Arthurwns,0-1,2016.06.30,22:00:38,1590,1873,-4,4,B01,Scandinavian Defense,180+0,Normal,1. e4 d5 2. Qf3 dxe4 3. Qxe4 Nf6 4. Qf3 e6 5. c3 Be7 6. d4 Nbd7 7. Be2 c6 8. Qg3 O-O 9. Bh6 g6 10. Bxf8 Qxf8 11. Nf3 Qg7 12. O-O Nb6 13. b3 Nbd5 14. Ng5 h6 15. Nf3 Ne4 16. Qg4 e5 17. dxe5 Bxg4 18. h3 Bxf3 19. Bxf3 Ng5 20. Bxd5 cxd5 21. Re1 Bc5 22. Nd2 Re8 23. c4 d4 24. a3 Rxe5 25. Rxe5 Qxe5 26. b4 d3 27. bxc5 Qxa1+ 28. Nf1 Qxa3 29. f3 Qc1 30. Kf2 d2 31. Nxd2 Qxd2+ 32. Kg3 Ne6 33. Kh2 Nxc5 34. Kg3 Nd3 35. c5 Qf2+ 36. Kh2 Ne1 37. h4 Qxg2# 0-1
 Classical ,jakarta95,mosa6,0-1,2016.06.30,22:00:38,1625,1993,-3,3,C34,"King's Gambit Accepted, MacLeod Defense",600+0,Normal,1. e4 e5 2. f4 exf4 3. Nf3 Nc6 4. Bc4 d6 5. O-O Nf6 6. Nc3 Be6 7. Bxe6 fxe6 8. d4 Be7 9. e5 dxe5 10. dxe5 Nd5 11. Nxd5 Qxd5 12. Qxd5 exd5 13. Bxf4 O-O 14. Ng5 Bxg5 15. Bxg5 Nxe5 16. Rxf8+ Rxf8 17. Rf1 Rxf1+ 18. Kxf1 Nc4 19. b3 Na3 20. c3 Nb5 21. c4 dxc4 22. bxc4 Nd6 23. Bf4 Nxc4 24. Bxc7 a6 25. a4 Kf7 26. a5 Ke6 27. Ke2 Kd7 28. Kd3 Kxc7 29. Kxc4 Kc6 30. g3 h5 31. h3 b5+ 32. Kb4 g5 33. h4 gxh4 34. gxh4 Kd5 35. Kc3 Kc5 36. Kb3 b4 37. Kc2 Kb5 38. Kb3 Kxa5 39. Ka2 Kb5 40. Kb3 a5 41. Kc2 a4 42. Kb1 Kc4 43. Kc2 b3+ 44. Kb1 Kd4 45. Kb2 Ke4 46. Kb1 Kf4 0-1
 Blitz ,easypls,fredasto,1-0,2016.06.30,22:00:38,2101,2097,11,-11,B10,Caro-Kann Defense: Two Knights Attack,300+0,Normal,1. e4 c6 2. Nc3 d5 3. Nf3 dxe4 4. Nxe4 Nf6 5. Neg5 h6 6. Nh3 Bg4 7. Nf4 e5 8. Ne2 Bd6 9. d3 Bxf3 10. gxf3 Nbd7 11. Rg1 g6 12. Ng3 Nb6 13. b3 Bb4+ 14. Bd2 Qd4 15. Bxb4 Qxb4+ 16. Qd2 Qd4 17. c3 Qd5 18. O-O-O a5 19. Bg2 Qd6 20. Ne4 Qa3+ 21. Qb2 Qxb2+ 22. Kxb2 Nfd5 23. d4 exd4 24. c4 Nf4 25. Rxd4 Ne2 26. Nd6+ Kf8 27. Rgd1 Nxd4 28. Rxd4 c5 29. Rf4 f5 30. Nxb7 Re8 31. Nxc5 Re2+ 32. Ka3 Rxf2 33. Bh3 Rxh2 34. Bxf5 gxf5 35. Rxf5+ Ke7 36. Ne4 Ra8 37. Re5+ Kf7 38. Nd6+ Kf6 39. Rb5 Nd7 40. Ne4+ Kg6 41. Rd5 Ra7 42. Rd6+ Kg7 43. c5 Rh3 44. c6 Nb6 45. c7 Rxc7 46. Rxb6 Rxf3 47. Nd6 h5 48. Ne8+ Kf7 49. Nxc7 h4 50. Rh6 h3 51. Nd5 Kg7 52. Rh4 Kg6 53. Rxh3 Rxh3 54. Nf4+ Kf5 55. Nxh3 Ke4 56. Ka4 Kd5 57. Kxa5 Kc6 58. b4 Kb7 59. b5 Ka8 60. Nf4 Ka7 61. Nd5 1-0
